variable	year	topic	leftp	n
DEATHPEN4	1983	200	25.77319588	600
DEATHPEN4	1987	200	30.52631579	600
DEATHPEN4	1989	200	22.10526316	600
DEATHPEN4	1994	200	34.04255319	600
DEATHPEN5	1978	200	22.44897959	600
DEATHPEN5	1981	200	20.21276596	600
DEATHPEN5	1982	200	18.75	600
DEATHPEN5	1983	200	20.6185567	600
DEATHPEN5	1987	200	23.95833333	600
DEATHPEN5	1989	200	17.34693878	600
DEATHPEN5	1994	200	26.04166667	600
DEATHPEN6	1981	200	23.40425532	600
DEATHPEN6	1982	200	23.15789474	600
DEATHPEN6	1983	200	25.80645161	600
DEATHPEN6	1987	200	27.08333333	600
DEATHPEN6	1989	200	22.34042553	600
DEATHPEN6	1994	200	36.17021277	600
DEATHPEN7	1981	200	55.05617978	600
DEATHPEN7	1982	200	48.35164835	600
DEATHPEN7	1983	200	60.21505376	600
DEATHPEN7	1987	200	58.69565217	600
DEATHPEN7	1989	200	54.44444444	600
DEATHPEN7	1994	200	70.96774194	600
DEATHPEN8	1981	200	65.88235294	600
DEATHPEN8	1982	200	67.04545455	600
DEATHPEN8	1983	200	66.66666667	600
DEATHPEN8	1987	200	62.06896552	600
DEATHPEN8	1989	200	55.17241379	600
DEATHPEN8	1994	200	69.31818182	600
DEATHPEN9	1981	200	81.11111111	600
DEATHPEN9	1982	200	88.04347826	600
DEATHPEN9	1983	200	86.95652174	600
DEATHPEN9	1987	200	83.51648352	600
DEATHPEN9	1989	200	81.81818182	600
DEATHPEN9	1994	200	90.2173913	600
DIFFSNEC	1987	160	64.15981199	1180
DIFFSNEC	1991	160	75.82697201	1034
DIFFSNEC	1999	160	76.39123103	820
DIFFSNEC	2004	160	63.17254174	1720
DIVORCE	1957	210	35.71428571	600
DIVORCE	1958	210	20.40816327	600
DIVORCE	1963	210	46.15384615	600
DIVORCE	1966	210	61.01694915	600
DIVORCE	1968	210	55.73770492	600
DIVORCE	1968	210	47.61904762	600
DIVORCE	1969	210	62.5	600
DOLE	1983	120	56.87544996	1389
DOLE	1984	120	63.58609795	1266
DOLE	1985	120	56.63780664	1386
DOLE	1986	120	56.9567045	2379
DOLE	1987	120	63.26714801	2216
DOLE	1989	120	65.85683297	2305
DOLE	1990	120	63.45249294	2126
DOLE	1991	120	66.3260773	2251
DOLE	1993	120	70.04747518	2317
DOLE	1994	120	68.90630832	2679
DOLE	1995	120	63.15789474	969
DOLE	1996	120	60.13254273	2867
DOLE	1997	120	61.8762475	1002
DOLE	1998	120	38.44210526	2375
DOLE	1999	120	43.67329666	2363
DOLE	2000	120	52.56312165	2614
DOLE	2001	120	49.52888161	2441
DOLE	2002	120	38.30921554	2626
DOLE	2003	120	45.50700742	2426
DOLE	2004	120	30.21001616	2476
DOLE	2005	120	34.29319372	600
DOLEFIDL	1987	120	55.19187359	1242
DOLEFIDL	1989	120	54.30232558	2530
DOLEFIDL	1991	120	57.86895285	2427
DOLEFIDL	1993	120	54.54038997	2594
DOLEFIDL	1994	120	51.21713729	2957
DOLEFIDL	1995	120	52.97592004	3146
DOLEFIDL	1996	120	47.417154	3103
DOLEFIDL	1998	120	41.05326152	2546
DOLEFIDL	1999	120	43.99237127	2478
DOLEFIDL	2000	120	40.67127345	2991
DOLEFIDL	2001	120	48.81075491	2820
DOLEFIDL	2002	120	42.67352185	2929
DOLEFIDL	2003	120	41.89189189	882
DOLEFIDL	2004	120	36.39618138	2610
DOLEFIDL	2005	120	41.10050533	2697
ECOHELP2	1983	100	72.11940299	1718
ECOHELP2	1984	100	68.8172043	1645
ECOHELP2	1985	100	66.66666667	1769
ECOHELP2	1986	100	63.0952381	3066
ECOHELP2	1987	100	60.62902615	2765
ECOHELP2	1989	100	56.91284564	2930
ECOHELP2	1990	100	57.44115414	2697
ECOHELP2	1991	100	61.88760807	1423
ECOHELP3	1983	140	86.4737153	1718
ECOHELP3	1984	140	88.54489164	1646
ECOHELP3	1985	140	90.1319564	1770
ECOHELP3	1986	140	91.27984085	3066
ECOHELP3	1987	140	92.81261459	2766
ECOHELP3	1989	140	93.16534346	2931
ECOHELP3	1990	140	91.71042761	2699
ECOHELP3	1991	140	92.57673091	1423
ECOHELP4	1983	100	75.30487805	1719
ECOHELP4	1984	100	71.70668397	1645
ECOHELP4	1985	100	72.91666667	1770
ECOHELP4	1986	100	72.78839349	3067
ECOHELP4	1987	100	74.76265823	2765
ECOHELP5	1983	100	67.54926108	1719
ECOHELP5	1984	100	64.82939633	1645
ECOHELP5	1985	100	66.19890177	1769
ECOHELP5	1986	100	66.15983027	3066
ECOHELP5	1987	100	65.7905217	2765
ECOHELP5	1989	100	57.16925351	2930
ECOHELP5	1990	100	60.15841584	2698
ECOHELP5	1991	100	62.55673222	1422
ECOHELP6	1983	100	18.70838881	1720
ECOHELP6	1984	100	14.58773784	1646
ECOHELP6	1985	100	12.83244681	1769
ECOHELP6	1986	100	14.11306043	3065
ECOHELP6	1987	100	12.53309797	2766
ECOHELP8	1983	100	64	1720
ECOHELP8	1984	100	63.67713004	1646
ECOHELP8	1985	100	63.97366846	1769
ECOHELP8	1986	100	68.05266805	3066
ECOHELP8	1987	100	65.9344894	2766
ECOHELP8	1989	100	71.42339732	2930
ECOHELP8	1990	100	74.61988304	2698
ECOHELP8	1991	100	73.24981577	1422
ECOHELP9	1983	100	91.31469363	1719
ECOHELP9	1984	100	91.38576779	1646
ECOHELP9	1985	100	92.6462073	1769
ECOHELP9	1986	100	92.816572	3066
ECOHELP9	1987	100	92.05762837	2766
ECOHELP9	1989	100	88.67201115	2929
ECOHELP9	1990	100	85.4206319	2698
ECOHELP9	1991	100	86.89956332	1423
ECOHELPA	1989	100	87.77777778	2931
ECOHELPA	1990	100	92.18328841	2698
ECOHELPA	1991	100	92.62472885	1422
ECOHELPB	1989	100	82.17821782	2930
ECOHELPB	1990	100	84.75422427	2688
ECOHELPB	1991	100	83.69565217	1423
ECOHELPC	1989	100	70.39685377	2930
ECOHELPC	1990	100	74.96159754	2697
ECOHELPC	1991	100	70.25222552	1422
ECOSOLUT	1975	180	83.5443038	600
ECOSOLUT	1977	180	77.63157895	600
ENVBUS	1989	500	91.30434783	600
ENVBUS	1993	500	90.58823529	600
ENVBUS	1994	500	87.77777778	600
ENVBUS	1995	500	82.14285714	600
ENVBUS	1996	500	88.37209302	600
ENVCAR	1993	500	81.6091954	600
ENVCAR	1996	500	81.31868132	600
ENVCAR	1997	500	70.65217391	600
ENVCAR	1998	500	70.96774194	600
ENVCAR	2000	500	58.06451613	600
ENVJOBS	2001	500	64.79524439	2007
ENVJOBS	2005	500	60.49069374	2326
ENVPRICE	1990	500	84.14634146	1446
ENVPRICE	1991	500	82.14285714	1337
ENVPRICE	1992	500	81.25	1424
ENVPRICE	1993	500	81.6091954	1403
ENVPRICE	1996	500	81.31868132	1200
ENVTAX	1990	500	85.87521664	1484
ENVTAX	1999	500	72.33704293	1000
EQUOPP	2002	160	83.78378378	600
EQUOPP	2004	160	84.88488488	600
ETHNCAID	1995	400	20.6185567	600
ETHNCAID	2003	400	24.75083056	600
FALSECLM	1983	120	27.69528728	1719
FALSECLM	1984	120	28.16519973	1646
FALSECLM	1985	120	24.47284345	1769
FALSECLM	1986	120	23.07142857	3066
FALSECLM	1987	120	27.40536278	2765
FALSECLM	1989	120	28.53949329	2930
FALSECLM	1990	120	24.86942547	2698
FALSECLM	1994	120	24.33252427	3469
FALSECLM	1998	120	12.8528728	3148
FALSECLM	1999	120	12.64940239	3142
FALSECLM	2000	120	20.18736778	3425
FALSECLM	2001	120	17.14467814	3288
FALSECLM	2002	120	14.39975438	3436
FALSECLM	2003	120	17.86520477	3276
FALSECLM	2004	120	12.28300033	3198
FOXHUNT	1983	210	63.18063959	1610
FOXHUNT	1990	210	81.01010101	1186
FOXHUNT	1993	210	76.82445759	1268
FREEEQU	1981	160	24.95361781	1167
FREEEQU	1990	160	32.97258297	1485
FREEEQU	1999	160	34.70873786	1000
FREHMS	2002	210	86.41552511	600
FREHMS	2004	210	89.29411765	600
GAYSEX	1992	210	56.268081	3304
GAYSEX	1996	210	62.30079681	3103
GAYSEX	1997	210	62.4260355	1087
GAYSEX	1997	210	60.04077472	3093
GAYSEX2	1992	210	57.23645027	2675
GAYSEX2	1994	210	58.68113523	1835
GAYSEX2	1995	210	64.92942454	1498
GAYSEX2	1996	210	64.00937866	1348
GAYSEX2	1997	210	64.57399103	1379
GAYSEX3	1998	210	57.03446095	600
GAYSEX3	2000	210	61.95788812	600
GAYSEX3	2002	210	65.97642561	600
GAYSEX3	2004	210	67.29973962	600
GINCDIF	2002	160	73.19952774	600
GINCDIF	2004	160	76.78339818	600
GOVECON3	1985	140	49.63768116	1502
GOVECON3	1990	140	43.2853717	1163
GOVECON3	1996	140	37.48169839	993
GOVECON4	1985	100	95.07714916	1502
GOVECON4	1990	100	93.50393701	1164
GOVECON4	1996	100	96.84947491	993
GOVECON5	1985	100	17.27748691	1504
GOVECON5	1990	100	24.65331279	1162
GOVECON5	1996	100	25.28089888	992
GOVECON6	1985	100	97.94721408	1502
GOVECON6	1990	100	98.27751196	1163
GOVECON6	1996	100	98.61431871	993
GOVECON7	1985	100	63.03972366	1502
GOVECON7	1990	100	74.35064935	1162
GOVECON7	1996	100	82.32931727	993
GOVECON8	1985	100	64.47368421	1502
GOVECON8	1990	100	58.01713586	1164
GOVECON8	1996	100	55.43806647	993
GOVEDSP	1987	140	92.78029445	3826
GOVEDSP	1992	140	96.90199583	3534
GOVEDSP	1997	140	96.77790564	3615
GOVENVIR	1990	500	87.41648107	1185
GOVENVIR	1991	500	84.56140351	1207
GOVENVIR	1993	500	68.82951654	1268
GOVENVIR	1994	500	82.31884058	972
GOVENVIR	1995	500	84.04825737	1032
GOVENVIR	1996	500	82.63795424	1075
GOVENVIR	1997	500	84.94055482	1087
GOVHAND	1983	120	25.57686961	3955
GOVHAND	1987	120	30.31379515	3826
GOVHAND	1992	120	32.0441989	3534
GOVHELP4	1986	100	39.1575663	1315
GOVHELP4	1987	100	39.52879581	1182
GOVHELP4	1989	100	41.55844156	1273
GOVINVEST	1990	100	37.68115942	600
GOVINVEST	1991	100	65.11627907	600
GOVINVEST	1992	100	47.14285714	600
GOVINVEST	1993	100	42.85714286	600
